hhnumber,signup,birth,employ,marital,sex,age,eduage,socclass,adult,children,shoptrips,shopbycar,transport,car,carnum,inc_hrp_a060,inc_grossnormalweekly_p344,inc_weeklyhhdispos_p389,inc_grosscurrenthhincome_p352
2,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,623
28,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
30,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
36,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
38,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,623
50,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,623
52,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
58,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
74,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
76,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
81,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,623
82,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
85,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
91,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
104,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
120,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,623
121,9999,9999,9999,9999,9999,9999,9999,9999,1,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
134,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
139,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
158,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
159,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
169,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,19615
175,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
178,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
180,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
182,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,623
184,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
197,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,19615
202,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
204,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
211,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,19615
215,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,623
258,9999,9999,9999,9999,9999,9999,9999,9999,9,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
259,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
270,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
271,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
275,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
277,9999,9999,9999,9999,9999,9999,9999,9999,10,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
278,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
286,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
289,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
295,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
314,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
336,9999,9999,9999,9999,9999,9999,9999,9999,9,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
348,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
349,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
350,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
351,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
354,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
355,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
356,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
369,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
390,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
392,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
393,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
399,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
402,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
420,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
422,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
429,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
431,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
433,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
438,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,623
450,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
456,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
462,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
463,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
466,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
468,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
470,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
483,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
487,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
488,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,230
489,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
495,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
509,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
510,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
513,9999,9999,9999,9999,9999,9999,9999,9999,9,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
516,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
531,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,623
542,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,19615
553,9999,9999,9999,9999,9999,9999,9999,9999,6,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
559,9999,9999,9999,9999,9999,9999,9999,9999,3,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
568,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
574,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
588,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
590,9999,9999,9999,9999,9999,9999,9999,9999,2,0,9999,9999,9999,9999,9999,9999,9999,9999,230
606,9999,9999,9999,9999,9999,9999,9999,9999,10,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
612,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
631,9999,9999,9999,9999,9999,9999,9999,9999,8,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
632,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
648,9999,9999,9999,9999,9999,9999,9999,9999,7,0,9999,9999,9999,9999,9999,9999,9999,9999,8076
657,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,2676
660,9999,9999,9999,9999,9999,9999,9999,9999,4,0,9999,9999,9999,9999,9999,9999,9999,9999,19615
663,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
666,9999,9999,9999,9999,9999,9999,9999,9999,5,0,9999,9999,9999,9999,9999,9999,9999,9999,1569
