Hhnumber,week,t,id_chain1,id_chain2,id_chain3,id_chain4,id_chain5,id_chain6,id_chain7,id_chain8,id_chain9,id_chain10,id_chain11,id_chain12,id_chain13,id_chain14,id_chain15,id_chain16,id_chain17,id_chain18,id_chain19,id_chain20,id_chain21,id_chain22,id_chain23,id_chain24,id_chain25,id_chain26,id_chain27,id_chain28,id_chain29,id_chain30
2,419,1,1,10,12,13,18,22,23,27,40,49,50,53,54,55,64,66,71,81,82,88,95,96,101,103,106,116,117,126,131,132
2,352,2,1,10,12,13,18,22,23,27,40,49,50,53,54,55,64,66,71,81,82,88,95,96,101,103,106,116,117,126,131,132
2,144,3,1,10,12,13,18,22,23,27,40,49,50,53,54,55,64,66,71,81,82,88,95,96,101,103,106,116,117,126,131,132
28,102,1,4,10,12,13,18,23,27,36,38,40,49,50,53,54,66,71,81,82,88,95,96,101,103,107,115,116,117,118,126,131
28,120,2,4,10,12,13,18,23,27,36,38,40,49,50,53,54,66,71,81,82,88,95,96,101,103,107,115,116,117,118,126,131
28,148,3,4,10,12,13,18,23,27,36,38,40,49,50,53,54,66,71,81,82,88,95,96,101,103,107,115,116,117,118,126,131
30,106,1,6,10,12,13,18,20,23,27,36,40,42,46,48,49,50,53,54,66,71,81,82,88,95,96,103,107,116,117,126,131
30,130,2,6,10,12,13,18,20,23,27,36,40,42,46,48,49,50,53,54,66,71,81,82,88,95,96,103,107,116,117,126,131
30,211,3,6,10,12,13,18,20,23,27,36,40,42,46,48,49,50,53,54,66,71,81,82,88,95,96,103,107,116,117,126,131
36,126,1,10,12,13,23,27,36,46,48,49,50,53,54,64,66,71,81,82,88,95,96,103,104,106,107,115,116,117,126,131,132
36,450,2,10,12,13,23,27,36,46,48,49,50,53,54,64,66,71,81,82,88,95,96,103,104,106,107,115,116,117,126,131,132
36,422,3,10,12,13,23,27,36,46,48,49,50,53,54,64,66,71,81,82,88,95,96,103,104,106,107,115,116,117,126,131,132
38,309,1,1,6,10,12,13,18,22,23,27,36,38,42,49,50,52,54,55,66,70,71,81,82,88,95,96,103,116,117,126,132
38,312,2,1,6,10,12,13,18,22,23,27,36,38,42,49,50,52,54,55,66,70,71,81,82,88,95,96,103,116,117,126,132
38,104,3,1,6,10,12,13,18,22,23,27,36,38,42,49,50,52,54,55,66,70,71,81,82,88,95,96,103,116,117,126,132
50,231,1,1,4,10,12,13,18,20,22,23,27,36,40,46,49,50,54,66,71,76,81,82,88,95,96,101,103,116,117,126,131
50,215,2,1,4,10,12,13,18,20,22,23,27,36,40,46,49,50,54,66,71,76,81,82,88,95,96,101,103,116,117,126,131
50,244,3,1,4,10,12,13,18,20,22,23,27,36,40,46,49,50,54,66,71,76,81,82,88,95,96,101,103,116,117,126,131
52,239,1,10,12,13,19,22,23,27,36,46,48,49,50,54,55,66,70,71,81,82,88,95,96,103,104,112,116,117,126,131,133
52,235,2,10,12,13,19,22,23,27,36,46,48,49,50,54,55,66,70,71,81,82,88,95,96,103,104,112,116,117,126,131,133
